playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,weight,height,bats,throws
stelmri01,1415.0,82.0,24.0,USA,IL,1943.0,91.0,18.0,USA,IL,164.0,75.0,L,R
stembje01,1526.0,19.0,4.0,USA,NJ,,,,,,195.0,85.0,R,R
stemfr01,719.0,73.0,70.0,USA,NC,1233.0,73.0,14.0,USA,SC,120.0,78.0,L,R
stemlst01,1736.0,37.0,64.0,USA,KY,,,,,,170.0,83.0,R,R
stemmbi01,498.0,37.0,18.0,USA,OH,979.0,37.0,8.0,USA,OH,157.0,78.0,R,R
stengca01,774.0,55.0,97.0,USA,MO,1380.0,73.0,93.0,USA,CA,139.0,70.0,L,L
stenhda01,1250.0,73.0,37.0,USA,RI,,,,,,164.0,73.0,R,R
stenhmi01,1526.0,37.0,93.0,USA,CO,,,,,,164.0,75.0,L,R
stennre01,1449.0,28.0,14.0,Panama,Colon,1996.0,37.0,57.0,USA,FL,120.0,70.0,R,R
stensde01,1747.0,46.0,54.0,USA,GA,1755.0,91.0,14.0,USA,AZ,207.0,75.0,L,L
stenzja01,520.0,46.0,77.0,USA,OH,630.0,1.0,18.0,USA,OH,130.0,68.0,R,R
stephbe01,520.0,73.0,90.0,USA,MI,322.0,64.0,14.0,USA,MI,132.0,68.0,,R
stephbo01,1194.0,64.0,34.0,USA,OK,1983.0,19.0,64.0,USA,OK,126.0,73.0,R,R
stephbr01,1106.0,55.0,44.0,USA,AR,1594.0,91.0,67.0,USA,CA,139.0,83.0,R,R
stephbu01,1371.0,55.0,41.0,USA,CA,,,,,,176.0,83.0,R,R
stephcl01,476.0,64.0,60.0,USA,OH,1005.0,10.0,90.0,USA,OH,,,,R
stephdu01,542.0,73.0,70.0,USA,NJ,697.0,100.0,1.0,USA,NJ,145.0,70.0,R,R
stephea01,1404.0,55.0,100.0,USA,NC,,,,,,139.0,80.0,L,L
stephga01,1681.0,1.0,4.0,USA,MD,,,,,,164.0,83.0,R,R
stephge01,1250.0,1.0,64.0,USA,AR,1969.0,28.0,87.0,USA,TX,139.0,80.0,L,R
stephja01,1924.0,37.0,34.0,USA,AL,,,,,,195.0,78.0,R,R
stephje01,1360.0,82.0,18.0,USA,MI,1849.0,46.0,18.0,USA,CA,151.0,78.0,L,R
stephji01,697.0,100.0,31.0,USA,OH,1246.0,1.0,4.0,USA,AL,116.0,58.0,R,R
stephjo01,1117.0,46.0,97.0,USA,MI,1728.0,73.0,64.0,USA,CA,151.0,78.0,R,R
stephjo02,1338.0,28.0,41.0,USA,KY,,,,,,145.0,70.0,L,R
stephjo03,1758.0,91.0,47.0,Australia,New South Wales,,,,,,170.0,75.0,R,R
stephph01,1548.0,73.0,60.0,USA,OK,,,,,,164.0,75.0,L,L
stephra01,1570.0,73.0,70.0,USA,TX,,,,,,157.0,73.0,R,R
stephri01,863.0,1.0,14.0,USA,AL,1514.0,91.0,47.0,USA,AL,151.0,68.0,R,R
